,Employee ID,Project ID,Time/Duration,Peer(s) workload,Performance,Missed deadlines,Partly – Job satisfaction,Number of unplanned meetings,Number of meetings organized,Number of meetings participated,Average meeting time per day/week,Time series view of the usage of teams for the purpose of communication or documents,General leave patterns,Sick leave(s),Audio conversation(confidence),Video of the meeting:,Communication(changes present or not),On an office laptop,Periodic employee survey feedbacks,External factors(interference),Personality style
168,fffe31003800370033003800,13,7,2,5.6,13,Strong Agree,3,7,14.02501482,3.614679932,41.00012846,6,3,1,1,No,9.58571573,negative,NA,INTJ
169,fffe32003000330031003700,11,5,0,1,4,Agree,8,7,10.24260085,0.612899285,15.99964999,6,3,1,0.6818,No,14.40870149,negative,Sometimes,ENFP
170,fffe32003500340034003400,2,6,2,7.2,3,Neither,11,0,6.345701781,1.563148059,43.05506706,6,3,1,,Yes,10.92990271,neutral,Rarely,INTJ
171,fffe33003300310035003800,8,9,1,6.7,6,Disagree,12,7,4.333217787,2.550662848,,6,3,1,,Don't know,8.625319807,neutral,Sometimes,INTJ
172,fffe32003400360033003800,13,9,1,5.852571429,4,Agree,8,8,3.262994251,0.054251022,40.77285057,8,4,1,,No,12.42101765,neutral,Often,INTP
173,fffe31003000300032003600,1,7,3,7.5,10,Disagree,11,1,2.324109775,0.893664776,,6,1,1,,No,10.3643127,neutral,Never,ISFJ
174,fffe31003700330032003300,12,6,3,5.852571429,12,Neither,14,5,11.2932785,1.10868574,71.13170731,6,3,1,0.663,No,10.27889865,negative,NA,INTP
175,fffe3900370030003600,10,7,4,7.5,1,Agree,14,7,11.39453843,2.567823848,79.88977734,2,1,1,0.6777,Yes,9.848261793,negative,Sometimes,ISTP
176,fffe3900360033003500,13,2,0,4,1,Agree,14,5,2.283172269,2.193500353,69.33997072,8,4,0.6816,0,No,8.854617937,neutral,Never,INTP
177,fffe31003100350037003700,14,8,1,5.3,12,Agree,14,2,6.395759948,2.586011433,5.001375465,2,1,1,,No,12.22816466,positive,NA,INTP
178,fffe31003400350033003700,6,7,2,7.5,15,Neither,3,0,0.020117054,1.592077984,,2,1,1,1,Don't know,10.74191605,negative,Often,INTP
179,fffe3100390034003700,11,6.639593909,1,5.852571429,11,Agree,10,8,5.85901516,0.906373117,12.33489326,4,4,1,0.3709,No,13.51855138,negative,Sometimes,INTP
180,fffe31003700380032003400,8,7,4,7.7,13,Neither,12,2,11.5526473,3.811140814,65.80855367,4,3,0.6701,0,No,9.045460278,neutral,NA,INFP
181,fffe31003300310035003400,12,7,0,4.4,13,Neither,3,3,10.58684465,5.356314112,11.99997066,4,2,0.6942,0,No,11.63074512,neutral,Never,ENTP
182,fffe33003400390035003500,10,7,2,5.852571429,12,Neither,14,3,11.72052061,5.439796922,,4,2,1,0.7148,No,11.7118043,negative,Sometimes,INFP
183,fffe31003600300032003500,11,6,4,5.852571429,4,Neither,11,0,13.01848499,3.480173894,31.5680976,2,1,0.6791,0.6791,No,8.15545702,negative,Never,INTP
184,fffe3700370031003700,4,6,3,6.5,12,Neither,4,1,5.252414893,0.067153015,9.007735909,2,1,0.3579,0,Don't know,9.796898813,positive,Sometimes,INTJ
185,fffe31003400340031003500,6,5,2,5.5,10,Disagree,10,4,11.05636352,5.833111259,90.01619002,2,1,1,,No,12.04920364,positive,Often,ENTP
186,fffe32003300340038003400,1,5,2,5,3,Neither,15,8,14.61322697,5.416036547,82.16665988,2,1,0.653,,No,9.731728063,neutral,NA,INFJ
187,fffe31003700310033003400,4,6,1,5.852571429,13,Neither,10,0,6.82072158,4.837004761,20.66315568,4,2,1,0.648,No,12.73422563,negative,Sometimes,INTJ
188,fffe32003000330033003800,8,7,4,9.2,4,Neither,9,5,9.573581613,4.524308086,,2,1,1,0.6729,No,9.739935005,negative,NA,INTP
189,fffe31003400380038003100,3,6,2,5,5,Disagree,7,6,9.026354634,1.300080667,11.54939051,2,1,0.6743,0,No,8.913822961,neutral,NA,ISTP
190,fffe3400350037003400,1,8,1,4.1,0,Strong Disagree,15,7,2.511946785,4.812802205,11.00005544,2,1,0.6783,,Don't know,15.56921907,positive,Never,ISTJ
191,fffe31003000360035003700,8,6,3,5.5,6,Agree,9,0,14.25014061,1.976682704,21.20007177,2,1,0.6863,,No,12.18116053,neutral,Often,INFP
192,fffe33003400330035003900,12,6,5,8.8,6,Agree,14,6,5.414751059,3.323812629,0.210066326,2,1,1,0.6705,No,15.07561233,negative,Sometimes,INTJ
193,fffe3900350033003600,3,7,2,5.5,10,Disagree,6,4,8.992602368,4.427208074,5.379819715,2,1,1,1,No,11.50407507,negative,Sometimes,ENFP
194,fffe31003000300037003800,10,6,1,5.9,4,Agree,10,3,1.574646629,2.845602464,12.00669231,4,2,1,,No,15.75238254,positive,Rarely,INFP
195,fffe3900300031003000,8,6,2,4.5,13,Neither,10,6,5.7815985,4.565659046,48.51681767,2,1,1,0.6648,No,13.82739371,negative,Sometimes,INTP
196,fffe33003100360037003700,7,5,3,8,9,Agree,13,6,3.351076266,4.171502611,36.56255296,4,2,1,1,No,14.01055343,negative,Never,INTJ
197,fffe3900350039003000,6,8,2,5.8,14,Disagree,4,4,5.82129756,5.304091882,39.82017789,2,2,1,1,No,11.06077135,negative,Never,INTJ
198,fffe31003200370030003900,2,8,1,4.4,8,Disagree,5,3,5.163652218,1.541257626,2.199997818,9,2,0.7158,0.7158,No,11.59766888,negative,Rarely,INFP
199,fffe3800380035003500,1,6,2,6.1,6,Disagree,6,3,1.241373583,5.143719054,25,4,2,1,1,No,14.22032907,negative,NA,INTP
200,fffe32003000310034003600,9,9,,5.852571429,2,Strong Disagree,8,5,13.88462195,3.990544536,12.50025543,3.638190955,1.869346734,1,,No,9.26746476,positive,Sometimes,INTP
